Date,trapVisitID,subSiteName,visitType,trapFunctioning,fishProcessed,sampleStart,sampleEnd,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,ConeDebrisIntake1,ConeDebrisIntake2,debrisVolume,debrisType,includeCatch,includeCatchComments,TrapVisit.comments
2018/05/23 00:00:00,8820,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2018/05/22 10:57:00,2018/05/23 10:09:00,641,NA,3.5,NA,NA,21,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Intakes: 3/0
2018/05/24 00:00:00,8822,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2018/05/23 10:09:00,2018/05/24 09:07:00,2944,NA,3.9,NA,NA,14,Terrestrial,Yes,"Catch could not be imputed, therefore actual catch was assumed to be the most accurate measure and thus included in analysis.",Intakes: 0/3
2018/05/25 00:00:00,8824,ST004L1,End trapping,Trap stopped functioning,No fish were caught,2018/05/24 09:07:00,2018/05/25 10:04:00,336,NA,NA,0,0,7,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Intakes: 3/0
2019/02/02 00:00:00,8850,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/02/02 09:46:17,NA,NA,1.2,NA,NA,NA,NA,Yes,NA,NA
2019/02/03 00:00:00,8851,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/02 09:46:17,2019/02/03 10:07:40,538,0,2.3,3,3,42,Terrestrial,Yes,"Catch could not be imputed, therefore actual catch was assumed to be the most accurate measure and thus included in analysis.",Stopped by log.  Debris cleared from fornt of the cone.
2019/02/04 00:00:00,8852,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/03 10:07:40,2019/02/04 12:04:23,958,0,2.1,0,2,51,Terrestrial,Yes,"Catch could not be imputed, therefore actual catch was assumed to be the most accurate measure and thus included in analysis.",NA
2019/02/05 00:00:00,8853,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/04 12:04:23,2019/02/05 10:37:42,2863,2.1,2.5,0,0,25,Terrestrial,Yes,NA,NA
2019/02/06 00:00:00,8855,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/05 10:37:42,2019/02/06 11:37:41,2473,0,2.3,0,3,29,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Log in cone stopped trap.
2019/02/07 00:00:00,8857,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/06 11:37:41,2019/02/07 10:02:22,572,0,2,3,1,11,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/02/08 00:00:00,8859,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/07 10:02:22,2019/02/08 10:04:19,632,0,1.6,2,2,15,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/02/09 00:00:00,8863,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/08 10:04:19,2019/02/09 09:52:51,2199,1.4,1.4,0,0,17,Terrestrial,Yes,NA,NA
2019/02/10 00:00:00,8864,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/09 09:52:51,2019/02/10 09:32:07,1438,0,1.4,0,2,15,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period.,NA
2019/02/11 00:00:00,8865,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/10 09:32:07,2019/02/11 10:01:48,2146,1.6,1.5,0,0,15,Terrestrial,Yes,NA,NA
2019/02/12 00:00:00,8867,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/11 10:01:48,2019/02/12 09:53:50,478,0,2.2,1,1,15,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/02/13 00:00:00,8870,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/12 09:53:50,2019/02/13 10:05:33,1944,0,1.4,0,1,13,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Trap stopped due to built up debris on outside of cone.
2019/02/14 00:00:00,8871,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/13 10:05:33,2019/02/14 10:45:14,2138,1.6,1.6,1,0,27,Terrestrial,Yes,NA,NA
2019/02/15 00:00:00,8873,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/14 10:45:14,2019/02/15 10:04:49,616,0,1.8,1,0,15,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/02/16 00:00:00,8875,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/15 10:04:49,2019/02/16 10:38:03,1325,0,2.4,3,1,28,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/02/17 00:00:00,8877,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/16 10:38:03,2019/02/17 10:16:00,651,0,3.2,1,3,17,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Trap stopped by log.
2019/02/18 00:00:00,8879,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/17 10:16:00,2019/02/18 10:11:40,1551,0,2.4,3,3,63,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Trap stopped by a log in the intake.
2019/02/19 00:00:00,8880,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2019/02/18 10:11:40,2019/02/19 10:25:28,3330,2.4,2.8,0,0,34,Terrestrial,Yes,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,One door on the cone was open and 2 of the 3 latches were missing.  Log in trap as well.
2019/02/20 00:00:00,8885,ST004L1,End trapping,Trap functioning normally,Processed fish,2019/02/19 10:25:28,2019/02/20 09:48:14,3400,2.4,NA,1,1,16,Terrestrial,Yes,NA,NA
2019/02/20 00:00:00,8886,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/02/20 11:31:47,NA,NA,3.5,NA,NA,NA,NA,Yes,NA,NA
2019/02/21 00:00:00,8887,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/20 11:31:47,2019/02/21 10:38:37,4478,3.2,3.3,0,1,28,Terrestrial,Yes,NA,NA
2019/02/22 00:00:00,8892,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/21 10:38:37,2019/02/22 11:13:06,4918,3.5,3.4,1,1,38,Terrestrial,Yes,NA,NA
2019/02/23 00:00:00,8893,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/22 11:13:06,2019/02/23 11:20:55,4625,3.2,3.1,1,0,21,Terrestrial,Yes,NA,NA
2019/02/24 00:00:00,8894,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/23 11:20:55,2019/02/24 10:17:11,4418,3.3,3.3,0,0,25,Terrestrial,Yes,NA,NA
2019/02/25 00:00:00,8895,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/24 10:17:11,2019/02/25 10:44:41,4849,3.4,3.3,0,0,23,Terrestrial,Yes,NA,NA
2019/02/26 00:00:00,8898,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/25 10:44:41,2019/02/26 10:49:42,4458,3.4,3.5,0,0,34,Terrestrial,Yes,NA,NA
2019/02/27 00:00:00,8899,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/02/26 10:49:42,2019/02/27 10:21:33,3449,0,3.3,1,3,28,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/02/28 00:00:00,8901,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/02/27 10:21:33,2019/02/28 10:21:08,5243,3.7,3.2,0,0,48,Terrestrial,Yes,NA,Traps adjusted before 'after rev's'
2019/03/01 00:00:00,8904,ST004L1,End trapping,Trap stopped functioning,Processed fish,2019/02/28 10:21:08,2019/03/01 11:04:26,2276,0,NA,2,1,109,Terrrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/03/04 00:00:00,8905,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/03/04 10:07:16,NA,NA,2.4,NA,NA,NA,NA,Yes,NA,NA
2019/03/05 00:00:00,8907,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/03/04 10:07:16,2019/03/05 10:19:14,1595,0,2.7,1,0,26,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Small log on side of trap and long stick inside stopped the trap.
2019/03/06 00:00:00,8909,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/05 10:19:14,2019/03/06 10:08:29,3908,3,2.4,0,0,19,Terrestrial,Yes,NA,NA
2019/03/07 00:00:00,8912,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/06 10:08:29,2019/03/07 10:58:53,4047,2.8,3,0,1,32,Terrestrial,Yes,NA,NA
2019/03/08 00:00:00,8913,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/07 10:58:53,2019/03/08 10:38:33,3594,2.5,2.4,1,1,30,Terrestrial,Yes,NA,NA
2019/03/09 00:00:00,8914,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/08 10:38:33,2019/03/09 09:36:53,3527,2.9,2.7,1,1,24,Terrestrial,Yes,NA,NA
2019/03/10 00:00:00,8918,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/09 09:36:53,2019/03/10 09:26:59,3750,3,3.1,0,0,12,Terrestrial,Yes,NA,NA
2019/03/11 00:00:00,8919,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/10 09:26:59,2019/03/11 09:42:29,4345,3.2,3.3,0,0,10,Terrestrial,Yes,NA,50 Gallon drum in cone
2019/03/12 00:00:00,8921,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/11 09:42:29,2019/03/12 10:40:19,5004,3.4,3.6,1,1,26,Terrestrial,Yes,NA,NA
2019/03/13 00:00:00,8922,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/12 10:40:19,2019/03/13 10:17:27,4977,3.9,4.1,0,0,17,Terrestrial,Yes,NA,NA
2019/03/14 00:00:00,8925,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/13 10:17:27,2019/03/14 10:06:54,5324,3.4,3.9,0,0,10,Terrestrial,Yes,NA,NA
2019/03/15 00:00:00,8927,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/14 10:06:54,2019/03/15 12:14:42,5942,4,3.7,1,1,8,Terrestrial,Yes,NA,NA
2019/03/16 00:00:00,8931,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/15 12:14:42,2019/03/16 10:34:28,5066,4,3.6,0,0,8,Terrestrial,Yes,NA,NA
2019/03/17 00:00:00,8932,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/16 10:34:28,2019/03/17 09:36:45,5169,3.5,3.3,0,0,6,Terrestrial,Yes,NA,NA
2019/03/18 00:00:00,8933,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/17 09:36:45,2019/03/18 09:48:50,5295,3.3,3.7,0,0,5,Terrestrial,Yes,NA,NA
2019/03/19 00:00:00,8935,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/18 09:48:50,2019/03/19 10:07:10,5217,3.9,3.7,0,0,6,Terrestrial,Yes,NA,NA
2019/03/20 00:00:00,8937,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/19 10:07:10,2019/03/20 10:17:11,5102,3.2,3.1,0,0,5,Terrestrial,Yes,NA,NA
2019/03/21 00:00:00,8939,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/20 10:17:11,2019/03/21 09:49:26,4832,3.5,3.4,0,0,5,Terrestrial,Yes,NA,NA
2019/03/22 00:00:00,8941,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/21 09:49:26,2019/03/22 11:04:45,4882,3.3,3.2,0,0,19,Terrestrial,Yes,NA,NA
2019/03/23 00:00:00,8946,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/22 11:04:45,2019/03/23 11:16:07,4637,3.1,3.2,0,0,40,Terrestrial,Yes,NA,NA
2019/03/24 00:00:00,8947,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/23 11:16:07,2019/03/24 10:28:09,3093,3,3.4,3,3,45,Terrestrial,Yes,NA,NA
2019/03/25 00:00:00,8948,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/24 10:28:09,2019/03/25 09:48:39,4579,3.2,3.3,0,0,20,Terrestrial,Yes,NA,NA
2019/03/26 00:00:00,8949,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/25 09:48:39,2019/03/26 08:53:20,4644,3.8,3.4,0,0,8,Terrestrial,Yes,NA,NA
2019/03/27 00:00:00,8951,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/26 08:53:20,2019/03/27 09:30:30,4839,3.6,3.2,0,0,4,Terrestrial,Yes,NA,NA
2019/03/28 00:00:00,8953,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/27 09:30:30,2019/03/28 09:50:36,4628,3.3,3.2,2,0,5,Terrestrial,Yes,NA,Traps pulled over to shore for one hour while traps were worked up. Rope pulley twisted and too difficult to move traps in and out and therefore environmentals were not recorded.
2019/03/29 00:00:00,8954,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/28 09:50:36,2019/03/29 10:25:49,4703,3.3,3.3,0,0,8,Terrestrial,Yes,NA,NA
2019/03/30 00:00:00,8957,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/29 10:25:49,2019/03/30 09:52:10,4515,3.5,3.3,0,0,12,Terrestrial,Yes,NA,NA
2019/03/31 00:00:00,8960,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/30 09:52:10,2019/03/31 09:22:51,4480,2.9,3.3,0,0,4,Terrestrial,Yes,NA,NA
2019/04/01 00:00:00,8961,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/03/31 09:22:51,2019/04/01 10:02:18,5263,3.4,3.6,0,0,13,Terrestrial,Yes,NA,NA
2019/04/02 00:00:00,8963,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/01 10:02:18,2019/04/02 09:14:52,4773,3.5,3.7,0,0,5,Terrestrial,Yes,NA,NA
2019/04/03 00:00:00,8965,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/02 09:14:52,2019/04/03 09:27:42,4943,3.5,3.4,0,1,7,Terrestrial,Yes,NA,NA
2019/04/04 00:00:00,8967,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/03 09:27:42,2019/04/04 09:46:48,4834,3.2,3.9,0,0,5,Terrestrial,Yes,NA,NA
2019/04/05 00:00:00,8969,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/04 09:46:48,2019/04/05 09:44:39,5058,3.7,3.6,0,0,4,Terrestrial,Yes,NA,NA
2019/04/06 00:00:00,8973,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/05 09:44:39,2019/04/06 10:53:52,5295,3.5,3.5,0,0,5,Terrestrial,Yes,NA,NA
2019/04/07 00:00:00,8974,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/06 10:53:52,2019/04/07 09:08:28,NA,3.3,3.3,0,0,4,Terrestrial,Yes,NA,Clicker reading not recorded
2019/04/08 00:00:00,8975,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/07 09:08:28,2019/04/08 09:16:28,NA,3.5,3.6,0,0,5,Terrestrial,Yes,NA,Clicker reading not recorded
2019/04/09 00:00:00,8979,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/08 09:16:28,2019/04/09 10:27:13,NA,3.5,3.7,0,0,20,Terrestrial,Yes,NA,Total Rev's not recorded.
2019/04/10 00:00:00,8980,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/09 10:27:13,2019/04/10 10:05:12,4744,3.5,3.2,0,0,14,Terrestrial,Yes,NA,NA
2019/04/11 00:00:00,8981,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/10 10:05:12,2019/04/11 09:37:04,4713,3.6,3.2,0,0,13,Terrestrial,Yes,NA,NA
2019/04/12 00:00:00,8986,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/11 09:37:04,2019/04/12 12:42:28,5292,3.1,3.8,0,0,7,Terrestrial,Yes,NA,NA
2019/04/13 00:00:00,8987,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/12 12:42:28,2019/04/13 10:28:48,4283,3.5,3.4,0,0,4,Terrestrial,Yes,NA,NA
2019/04/14 00:00:00,8988,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/13 10:28:48,2019/04/14 09:20:30,4487,3.4,3.2,0,0,3,Terrestrial,Yes,NA,NA
2019/04/15 00:00:00,8989,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/14 09:20:30,2019/04/15 09:35:45,4716,3.3,3.1,0,0,4,Terrestrial,Yes,NA,NA
2019/04/16 00:00:00,8992,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/15 09:35:45,2019/04/16 08:31:58,4447,3.3,3.2,0,0,4,Terrestrial,Yes,NA,NA
2019/04/17 00:00:00,8993,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/16 08:31:58,2019/04/17 10:15:59,4777,3.4,3.8,0,0,5,Terrestrial,Yes,NA,NA
2019/04/18 00:00:00,8995,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/17 10:15:59,2019/04/18 09:58:40,4721,3.5,3.6,0,0,4,Terrrestrial,Yes,NA,NA
2019/04/19 00:00:00,9000,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/18 09:58:40,2019/04/19 12:29:06,5368,3.4,3.6,0,0,4,Terrestrial,Yes,NA,NA
2019/04/20 00:00:00,9001,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/19 12:29:06,2019/04/20 09:27:38,4135,3.3,3.6,0,0,3,Terrestrial,Yes,NA,NA
2019/04/21 00:00:00,9002,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/20 09:27:38,2019/04/21 09:39:40,4917,3.5,3.4,0,0,8,Terrestrial,Yes,NA,NA
2019/04/22 00:00:00,9003,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/21 09:39:40,2019/04/22 09:34:53,4924,3.4,3.7,0,0,5,Terrestrial,Yes,NA,NA
2019/04/23 00:00:00,9006,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/22 09:34:53,2019/04/23 08:39:18,4911,3.8,3.8,0,0,5,Terrestrial,Yes,NA,NA
2019/04/24 00:00:00,9007,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/23 08:39:18,2019/04/24 09:44:29,4992,3.7,3.7,0,0,4,Terrestrial,Yes,NA,NA
2019/04/25 00:00:00,9009,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/24 09:44:29,2019/04/25 09:49:04,5117,3.6,3.5,0,0,7,Terrestrial,Yes,NA,NA
2019/04/26 00:00:00,9011,ST004L1,End trapping,Trap functioning normally,Processed fish,2019/04/25 09:49:04,2019/04/26 09:47:14,5010,3.7,NA,0,0,5,Terrestrial,Yes,NA,NA
2019/04/29 00:00:00,9013,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/04/29 14:09:29,NA,NA,3.6,NA,NA,NA,NA,Yes,NA,NA
2019/04/30 00:00:00,9015,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/29 14:09:29,2019/04/30 11:42:09,4721,3.5,3.8,0,0,15,Terrestrial,Yes,NA,NA
2019/05/01 00:00:00,9018,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/04/30 11:42:09,2019/05/01 10:11:19,4885,3.5,3.6,0,0,20,Terrestrial,Yes,NA,NA
2019/05/02 00:00:00,9019,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/05/01 10:11:19,2019/05/02 09:51:12,5182,3.5,3.6,0,0,37,Terrestrial,Yes,NA,NA
2019/05/03 00:00:00,9020,ST004L1,End trapping,Trap functioning normally,Processed fish,2019/05/02 09:51:12,2019/05/03 10:09:55,5318,3.8,NA,0,1,30,Terrestrial,Yes,NA,NA
2019/05/06 00:00:00,9023,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/05/06 11:21:50,NA,NA,3.4,NA,NA,NA,NA,Yes,NA,NA
2019/05/07 00:00:00,9025,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/05/06 11:21:50,2019/05/07 09:40:20,727,NA,3.3,2,0,30,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/05/08 00:00:00,9027,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/05/07 09:40:20,2019/05/08 10:15:32,4914,3.3,3.3,1,1,75,Terrestrial,Yes,NA,Moved traps in 8 feet before 'after revs'
2019/05/09 00:00:00,9029,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/05/08 10:15:32,2019/05/09 11:32:27,5021,3.5,3.5,0,0,39,Terrestrial,Yes,NA,NA
2019/05/10 00:00:00,9031,ST004L1,End trapping,Trap functioning normally,Processed fish,2019/05/09 11:32:27,2019/05/10 10:11:05,4537,3.2,NA,0,1,38,Terrestrial,Yes,NA,NA
2019/05/13 00:00:00,9033,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/05/13 09:33:39,NA,NA,3.1,NA,NA,NA,NA,Yes,NA,NA
2019/05/14 00:00:00,9035,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/05/13 09:33:39,2019/05/14 10:37:49,3181,0,3.6,1,3,47,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/05/15 00:00:00,9038,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/05/14 10:37:49,2019/05/15 09:50:37,1615,0,3.2,3,0,13,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Log in intake
2019/05/16 00:00:00,9039,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/05/15 09:50:37,2019/05/16 10:05:59,4219,3.2,3.2,0,0,40,Terrestrial,Yes,NA,NA
2019/05/17 00:00:00,9041,ST004L1,End trapping,Trap functioning normally,Processed fish,2019/05/16 10:05:59,2019/05/17 10:05:29,4567,3.1,NA,0,1,31,Terrestrial,Yes,NA,NA
2019/05/20 00:00:00,9043,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/05/20 09:23:29,NA,NA,3.4,NA,NA,NA,NA,Yes,NA,NA
2019/05/21 00:00:00,9045,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/05/20 09:23:29,2019/05/21 10:13:35,796,0,3,0,2,19,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,"Moved traps over before ""after revs"""
2019/05/22 00:00:00,9047,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/05/21 10:13:35,2019/05/22 09:47:11,4219,2.9,2.9,0,0,27,Terrestrial,Yes,NA,NA
2019/05/23 00:00:00,9049,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/05/22 09:47:11,2019/05/23 09:52:01,1201,0,3,0,1,20,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/05/24 00:00:00,9051,ST004L1,End trapping,Trap functioning normally,Processed fish,2019/05/23 09:52:01,2019/05/24 09:37:38,4286,3,NA,0,0,11,Terrestrial,Yes,NA,NA
2019/05/27 00:00:00,9055,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/05/27 17:35:32,NA,NA,2.6,NA,NA,NA,NA,Yes,NA,Traps adjusted out about 10' due to lower river flow
2019/05/28 00:00:00,9056,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/05/27 17:35:32,2019/05/28 09:19:05,504,0,2.7,0,2,7,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Log jammed in intake
2019/05/29 00:00:00,9058,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/05/28 09:19:05,2019/05/29 11:08:30,4359,2.9,2.9,2,0,82,Terrestrial,Yes,NA,Traps moved in about 10 feet before recording 'after revs'
2019/05/30 00:00:00,9061,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/05/29 11:08:30,2019/05/30 10:33:43,1625,0,2.6,0,3,62,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,"Moved traps over about 6 feet before ""after rev's"""
2019/05/31 00:00:00,9062,ST004L1,End trapping,Trap functioning normally,Processed fish,2019/05/30 10:33:43,2019/05/31 09:32:31,3543,2.6,NA,0,0,23,Terrestrial,Yes,NA,NA
2019/06/03 00:00:00,9064,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/06/03 10:17:29,NA,NA,2.6,NA,NA,NA,NA,Yes,NA,NA
2019/06/04 00:00:00,9066,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/06/03 10:17:29,2019/06/04 09:49:31,1019,NA,2.8,3,0,19,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/06/05 00:00:00,9069,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/06/04 09:49:31,2019/06/05 10:56:30,4328,2.8,2.9,0,2,62,Terrestrial,Yes,NA,NA
2019/06/06 00:00:00,9070,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019/06/05 10:56:30,2019/06/06 10:01:21,709,0,2.7,0,3,39,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/06/07 00:00:00,9072,ST004L1,End trapping,Trap stopped functioning,No fish were caught,2019/06/06 10:01:21,2019/06/07 10:11:39,755,0,NA,3,2,38,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,NA
2019/06/10 00:00:00,9076,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2019/06/10 10:02:53,NA,NA,2.3,NA,NA,NA,NA,Yes,NA,NA
2019/06/11 00:00:00,9077,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/06/10 10:02:53,2019/06/11 10:18:17,3223,2.3,2.5,0,0,43,Terrestrial,Yes,NA,NA
2019/06/12 00:00:00,9078,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/06/11 10:18:17,2019/06/12 09:53:19,3509,2.3,2.5,0,0,32,Terrestrial,Yes,NA,NA
2019/06/13 00:00:00,9080,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019/06/12 09:53:19,2019/06/13 10:25:15,3688,2.4,2.5,0,0,34,Terrestrial,Yes,NA,NA
2019/06/14 00:00:00,9082,ST004L1,End trapping,Trap functioning normally,Processed fish,2019/06/13 10:25:15,2019/06/14 11:32:49,3572,2.3,NA,0,0,52,Terrestrial,Yes,NA,NA
